work_list,Commuter Coordinator,Outreach and fostering relationships among college members
,,Hosting events and helping in college orientation
,,Holding weekly office hours in the Commuter Lounge
vol_list,Orientation Leader,Worked in a team as an orientation leader to a group of orientees
,,Ran the Instagram page for our team and made regular posts trhoughout orientation
,,Provided guidance and advice to incoming university students
,SMC Alumni Reunion,Oversaw alumni registration
,,Helped with event set up
,Campus Clean Up,Helped clean up St. Mikes!
,SMC Grad Day,Assisted the SMC mascot in greeting graduates and their families
,Science Rendezvous,Worked closely with other other volunteers to provide generators and cords to booths at this event
,Math Tutor Volunteer,Boosted students problem-solving abilities through the use of creative techniques and critical thinking exercises.
,,"Provided constructive feedback on homework assignments, quizzes, tests, and projects, enabling students to recognize areas for improvement and achieve academic growth."
,,"Developed customized lesson plans tailored to individual student needs, resulting in improved understanding of mathematical concepts"
awa_list,Leader of the Year Award,Recieved for  being the most helpful and enthusiastic orientation leader
,AP Scholar Award,Recieved for getting at least a three in three or more AP exams in high school
hack_list,Hack The Student Life 2024,Worked in a team to create a study spot finder app for UofT students
